cwe_id,name,type,score
73,External Control of File Name or Path,Base,0.7575271553461123
23,Relative Path Traversal,Base,0.7521714738736553
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Class,0.7501279239997023
41,Improper Resolution of Path Equivalence,Base,0.7460682948516374
184,Incomplete List of Disallowed Inputs,Base,0.742243927006254
59,Improper Link Resolution Before File Access ('Link Following'),Base,0.7413846527428442
36,Absolute Path Traversal,Base,0.7315391305320561
138,Improper Neutralization of Special Elements,Class,0.7296070450894406
427,Uncontrolled Search Path Element,Base,0.7292031394124829
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),Base,0.7271921997898889
