cwe_id,name,score,search_source
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),6856.718641183773,base_query
1336,Improper Neutralization of Special Elements Used in a Template Engine,6657.856597449555,base_query
116,Improper Encoding or Escaping of Output,6551.261263123486,base_query
138,Improper Neutralization of Special Elements,6422.462607623707,base_query
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),6335.827485682612,base_query
