cwe_id,name,score,search_source
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),8113.854916073218,unknown
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),8041.211499749125,unknown
116,Improper Encoding or Escaping of Output,7935.455528357295,unknown
138,Improper Neutralization of Special Elements,7855.248314468935,unknown
95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),7781.349604331836,unknown
