cwe_id,name,score,search_source
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),38.0122476969381,unknown
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),37.598000310131575,unknown
138,Improper Neutralization of Special Elements,37.42241606096516,unknown
269,Improper Privilege Management,37.41070654880255,unknown
427,Uncontrolled Search Path Element,36.752739755991854,unknown
502,Deserialization of Untrusted Data,36.60248186051557,unknown
73,External Control of File Name or Path,36.092880415761385,unknown
20,Improper Input Validation,36.07010496184784,unknown
23,Relative Path Traversal,35.592978169298846,unknown
434,Unrestricted Upload of File with Dangerous Type,35.256015681491064,unknown
