cwe_id,name,score,search_source
77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),1000.0,alternate_term_match
78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),700.0,alternate_term_match
94,Improper Control of Generation of Code ('Code Injection'),233.7382884582073,rootcause:Improper Control of Generation of Code (Code Injection)
138,Improper Neutralization of Special Elements,231.52336340062791,rootcause:Improper Control of Generation of Code (Code Injection)
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),230.6498008651272,rootcause:Improper Control of Generation of Code (Code Injection)
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),229.1908581570235,rootcause:Improper Control of Generation of Code (Code Injection)
95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),227.8851200276928,rootcause:Improper Control of Generation of Code (Code Injection)
502,Deserialization of Untrusted Data,227.41156430201357,rootcause:Improper Control of Generation of Code (Code Injection)
80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),227.15239442340146,rootcause:Improper Control of Generation of Code (Code Injection)
74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),227.01797536646177,rootcause:Improper Control of Generation of Code (Code Injection)
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),225.01305097534686,rootcause:Improper Control of Generation of Code (Code Injection)
790,Improper Filtering of Special Elements,191.973248915623,weakness:command injection
1336,Improper Neutralization of Special Elements Used in a Template Engine,189.17810676141497,weakness:command injection
93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),188.49783097631584,weakness:command injection
233,Improper Handling of Parameters,61.68693239908932,base_query
