cwe_id,name,score,search_source
79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),131.44069472830247,unknown
89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),130.61128064049313,unknown
306,Missing Authentication for Critical Function,118.95446610844449,unknown
125,Out-of-bounds Read,116.2168320912629,unknown
266,Incorrect Privilege Assignment,114.07350134470965,unknown
285,Improper Authorization,113.99460279695414,unknown
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),113.49068996606653,unknown
99,Improper Control of Resource Identifiers ('Resource Injection'),113.16589779644625,unknown
287,Improper Authentication,112.80656451615765,unknown
434,Unrestricted Upload of File with Dangerous Type,112.70483627494946,unknown
